,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Vehicle Type
0,DK49336,Arizona,4809.22,No,Basic,College,2/18/11,Employed,M,48029,Suburban,Married,61,7.0,52,0,9,Corporate Auto,Corporate L3,Offer3,Agent,292.8,Four-Door Car,Medsize,
2,LZ68649,Washington,14947.92,No,Basic,Bachelor,2/10/11,Employed,M,22139,Suburban,Single,100,34.0,31,0,2,Personal Auto,Personal L3,Offer3,Call Center,480.0,SUV,Medsize,A
3,XL78013,Oregon,22332.44,Yes,Extended,College,1/11/11,Employed,M,49078,Suburban,Single,97,10.0,3,0,2,Corporate Auto,Corporate L3,Offer2,Branch,484.01,Four-Door Car,Medsize,A
4,QA50777,Oregon,9025.07,No,Premium,Bachelor,1/17/11,Medical Leave,F,23675,Suburban,Married,117,,31,0,7,Personal Auto,Personal L2,Offer1,Branch,707.93,Four-Door Car,Medsize,
5,HO81102,,4745.18,,Basic,High School or Below,2/14/11,Employed,M,50549,Suburban,Divorced,61,2.0,73,0,7,Personal Auto,Personal L3,Offer1,Agent,292.8,Four-Door Car,Medsize,A
6,IW72280,California,5035.04,No,Basic,Doctor,2/14/11,Employed,F,37405,Urban,Married,63,8.0,99,3,4,Corporate Auto,Corporate L2,Offer2,Branch,287.56,Four-Door Car,Medsize,
7,IH64929,California,4956.25,No,Basic,High School or Below,2/24/11,Employed,M,87197,Urban,Single,63,35.0,45,0,3,Personal Auto,Personal L2,Offer2,Branch,247.4,Two-Door Car,Medsize,
8,FM55990,California,5989.77,Yes,Premium,College,1/19/11,Employed,M,66839,Suburban,Single,154,33.0,24,0,1,Personal Auto,Personal L1,Offer2,Branch,739.2,Sports Car,Medsize,
9,QX31376,Oregon,17114.33,No,Extended,Master,1/4/11,Employed,F,70961,Suburban,Married,85,19.0,8,0,2,Corporate Auto,Corporate L3,Offer2,Agent,408.0,Four-Door Car,Small,
10,HG93801,Arizona,5154.76,No,Extended,High School or Below,1/2/11,Employed,M,82730,Urban,Married,127,13.0,31,0,1,Corporate Auto,Corporate L3,Offer2,Branch,442.52,SUV,Large,A
